Year,Week Number,Unique Identifier,Start Day,Start Month,End Day,End Month,Christened (Male),Christened (Female),Christened (In All)
1701,14,Laxton-1701-14-verso,18,March,25,March,165,145,310
1701,15,Laxton-1701-15-verso,25,March,1,April,164,151,315
1701,16,Laxton-1701-16-verso,1,April,8,April,149,157,306
1701,17,Laxton-1701-17-verso,8,April,15,April,143,114,257
1701,18,Laxton-1701-18-verso,15,April,22,April,149,152,301
1701,19,Laxton-1701-19-verso,22,April,29,April,161,139,300
1701,20,Laxton-1701-20-verso,29,April,6,May,141,117,258
1701,21,Laxton-1701-21-verso,6,May,13,May,167,139,306
1701,22,Laxton-1701-22-verso,13,May,20,May,143,128,271
1701,23,Laxton-1701-23-verso,20,May,27,May,157,152,309
1701,24,Laxton-1701-24-verso,27,May,3,June,141,152,293
1701,25,Laxton-1701-25-verso,3,June,10,June,136,132,268
1701,26,Laxton-1701-26-verso,10,June,17,June,162,130,292
1701,27,Laxton-1701-27-verso,17,June,24,June,150,120,270
1701,28,Laxton-1701-28-verso,24,June,1,July,158,136,294
1701,29,Laxton-1701-29-verso,1,July,7,July,167,119,286
1701,30,Laxton-1701-30-verso,8,July,15,July,124,118,242
1701,31,Laxton-1701-31-verso,15,July,22,July,140,134,274
1701,32,Laxton-1701-32-verso,22,July,29,July,160,148,308
1701,33,Laxton-1701-33-verso,29,July,5,August,160,149,309
1701,34,Laxton-1701-34-verso,5,August,12,August,158,154,312
1701,35,Laxton-1701-35-verso,12,August,19,August,151,177,328
1701,36,Laxton-1701-36-verso,19,August,26,August,126,116,242
1701,37,Laxton-1701-37-verso,26,August,2,September,138,142,280
1701,38,Laxton-1701-38-verso,2,September,9,September,149,144,293
1701,39,Laxton-1701-39-verso,9,September,16,September,159,139,298
1701,40,Laxton-1701-40-verso,16,September,23,September,155,163,318
1701,42,Laxton-1701-42-verso,30,September,7,October,162,133,295
1702,15,Laxton-1702-15-verso,24,March,31,March,145,151,296
1702,16,Laxton-1702-16-verso,31,March,7,April,152,130,282
1702,17,Laxton-1702-17-verso,7,April,14,April,160,148,308
1702,18,Laxton-1702-18-verso,14,April,21,April,144,171,315
1702,19,Laxton-1702-19-verso,21,April,28,April,96,186,282
1702,20,Laxton-1702-20-verso,28,April,5,May,158,152,310
1702,21,Laxton-1702-21-verso,5,May,12,May,161,143,304
1702,22,Laxton-1702-22-verso,12,May,19,May,148,142,290
1702,23,Laxton-1702-23-verso,19,May,26,May,155,132,287
1702,24,Laxton-1702-24-verso,26,May,2,June,160,165,325
1702,25,Laxton-1702-25-verso,2,June,9,June,129,111,240
1702,26,Laxton-1702-26-verso,9,June,16,June,119,137,256
1702,27,Laxton-1702-27-verso,16,June,23,June,159,140,299
1702,28,Laxton-1702-28-verso,23,June,30,June,190,112,302
1702,29,Laxton-1702-29-verso,30,June,7,July,149,116,265
1702,30,Laxton-1702-30-verso,7,July,14,July,155,148,303
1702,31,Laxton-1702-31-verso,14,July,21,July,144,142,286
1702,32,Laxton-1702-32-verso,21,July,28,July,162,152,314
1702,33,Laxton-1702-33-verso,28,July,4,August,169,145,314
1702,34,Laxton-1702-34-verso,4,August,11,August,159,157,316
1702,35,Laxton-1702-35-verso,11,August,18,August,152,141,293
1702,36,Laxton-1702-36-verso,18,August,25,August,153,157,310
1702,37,Laxton-1702-37-verso,25,August,1,September,128,168,296
1702,38,Laxton-1702-38-verso,1,September,8,September,160,141,301
1702,39,Laxton-1702-39-verso,8,September,15,September,163,138,301
1702,40,Laxton-1702-40-verso,15,September,22,September,163,132,295
1702,41,Laxton-1702-41-verso,22,September,29,September,165,169,334
1702,42,Laxton-1702-42-verso,29,September,6,October,173,154,327
1702,43,Laxton-1702-43-verso,6,October,13,October,172,142,314
1702,44,Laxton-1702-44-verso,13,October,20,October,170,143,313
1701,45,Laxton-1701-45-verso,20,October,27,October,149,153,302
1701,46,Laxton-1701-46-verso,27,October,3,November,138,122,260
1702,47,Laxton-1702-47-verso,3,November,10,November,177,158,335
1702,48,Laxton-1702-48-verso,10,November,17,November,124,157,281
1702,49,Laxton-1702-49-verso,17,November,24,November,147,130,277
1702,50,Laxton-1702-50-verso,24,November,1,December,140,167,307
1702,51,Laxton-1702-51-verso,1,December,8,December,157,170,327
1702,52,Laxton-1702-52-verso,8,December,15,December,167,148,315
1702,1,Laxton-1702-01-verso,15,December,22,December,163,140,303
1702,2,Laxton-1702-02-verso,22,December,29,December,131,146,277
1702,3,Laxton-1702-03-verso,29,December,5,January,155,168,323
1702,4,Laxton-1702-04-verso,5,January,12,January,153,162,315
1702,06,Laxton-1702-06-verso,19,January,26,January,164,149,313
1702,07,Laxton-1702-07-verso,26,January,2,February,163,149,312
1702,8,Laxton-1702-08-verso,2,February,9,February,176,141,317
1702,9,Laxton-1702-09-verso,9,February,16,February,178,174,352
1702,10,Laxton-1702-10-verso,16,February,23,February,165,156,321
1702,11,Laxton-1702-11-verso,23,February,2,March,164,146,310
1702,12,Laxton-1702-12-verso,2,March,9,March,161,166,327
1702,13,Laxton-1702-13-verso,9,March,16,March,153,148,301
1702,14,Laxton-1702-14-verso,16,March,23,March,158,160,318
1703,15,Laxton-1703-15-verso,23,March,30,March,138,134,272
1703,16,Laxton-1703-16-verso,30,March,6,April,157,154,311
1703,17,Laxton-1703-17-verso,6,April,13,April,128,124,252
1703,18,Laxton-1703-18-verso,13,April,20,April,133,126,259
1703,19,Laxton-1703-19-verso,20,April,27,April,139,145,284
1703,20,Laxton-1703-20-verso,27,April,4,May,133,126,259
1703,21,Laxton-1703-21-verso,4,May,11,May,134,141,275
1703,22,Laxton-1703-22-verso,11,May,18,May,119,127,246
1703,23,Laxton-1703-23-verso,18,May,25,May,136,139,275
1703,24,Laxton-1703-24-verso,25,May,1,June,121,128,249
1703,25,Laxton-1703-25-verso,1,June,8,June,130,135,265
1703,26,Laxton-1703-26-verso,8,June,15,June,129,136,265
1703,27,Laxton-1703-27-verso,15,June,22,June,125,119,244
