Year,Week Number,Unique Identifier,Start Day,Start Month,End Day,End Month,christening,count
1668,1,1668-01-verso,22,December,29,December,Christened (Male),114
1668,1,1668-01-verso,22,December,29,December,Christened (Female),103
1668,1,1668-01-verso,22,December,29,December,Christened (In All),217
1668,2,1668-02-verso,29,December,5,January,Christened (Male),128
1668,2,1668-02-verso,29,December,5,January,Christened (Female),126
1668,2,1668-02-verso,29,December,5,January,Christened (In All),254
1668,3,1668-03-verso,5,January,12,January,Christened (Male),127
1668,3,1668-03-verso,5,January,12,January,Christened (Female),125
1668,3,1668-03-verso,5,January,12,January,Christened (In All),252
1668,4,1668-04-verso,12,January,19,January,Christened (Male),132
1668,4,1668-04-verso,12,January,19,January,Christened (Female),130
1668,4,1668-04-verso,12,January,19,January,Christened (In All),262
1668,5,1668-05-verso,19,January,26,January,Christened (Male),120
1668,5,1668-05-verso,19,January,26,January,Christened (Female),123
1668,5,1668-05-verso,19,January,26,January,Christened (In All),243
1668,6,1668-06-verso,26,January,2,February,Christened (Male),139
1668,6,1668-06-verso,26,January,2,February,Christened (Female),129
1668,6,1668-06-verso,26,January,2,February,Christened (In All),268
1668,7,1668-07-verso,2,February,9,February,Christened (Male),134
1668,7,1668-07-verso,2,February,9,February,Christened (Female),143
1668,7,1668-07-verso,2,February,9,February,Christened (In All),277
1668,8,1668-08-verso,9,February,16,February,Christened (Male),139
1668,8,1668-08-verso,9,February,16,February,Christened (Female),96
1668,8,1668-08-verso,9,February,16,February,Christened (In All),235
1668,9,1668-09-verso,16,February,23,February,Christened (Male),125
1668,9,1668-09-verso,16,February,23,February,Christened (Female),135
1668,9,1668-09-verso,16,February,23,February,Christened (In All),260
1668,11,1668-11-verso-form-fill,2,March,9,March,Christened (Male),161
1668,11,1668-11-verso-form-fill,2,March,9,March,Christened (Female),118
1668,11,1668-11-verso-form-fill,2,March,9,March,Christened (In All),279
1668,12,1668-12-verso,9,March,16,March,Christened (Male),125
1668,12,1668-12-verso,9,March,16,March,Christened (Female),141
1668,12,1668-12-verso,9,March,16,March,Christened (In All),266
1668,13,1668-13-verso,16,March,23,March,Christened (Male),133
1668,13,1668-13-verso,16,March,23,March,Christened (Female),109
1668,13,1668-13-verso,16,March,23,March,Christened (In All),242
1669,14,1669-14-verso,23,March,30,March,Christened (Male),125
1669,14,1669-14-verso,23,March,30,March,Christened (Female),126
1669,14,1669-14-verso,23,March,30,March,Christened (In All),251
1669,15,1669-15-verso,30,March,6,April,Christened (Male),146
1669,15,1669-15-verso,30,March,6,April,Christened (Female),98
1669,15,1669-15-verso,30,March,6,April,Christened (In All),244
1669,16,1669-16-verso,6,April,13,April,Christened (Male),110
1669,16,1669-16-verso,6,April,13,April,Christened (Female),102
1669,16,1669-16-verso,6,April,13,April,Christened (In All),212
1669,17,17-1669-verso,13,April,20,April,Christened (Male),130
1669,17,17-1669-verso,13,April,20,April,Christened (Female),120
1669,17,17-1669-verso,13,April,20,April,Christened (In All),250
1669,18,1669-18-verso,20,April,27,April,Christened (Male),114
1669,18,1669-18-verso,20,April,27,April,Christened (Female),112
1669,18,1669-18-verso,20,April,27,April,Christened (In All),226
1669,19,1669-19-verso,27,April,4,May,Christened (Male),114
1669,19,1669-19-verso,27,April,4,May,Christened (Female),107
1669,19,1669-19-verso,27,April,4,May,Christened (In All),221
1669,20,1669-20-verso,4,May,11,May,Christened (Male),113
1669,20,1669-20-verso,4,May,11,May,Christened (Female),109
1669,20,1669-20-verso,4,May,11,May,Christened (In All),222
1669,21,1669-21-verso,11,May,18,May,Christened (Male),125
1669,21,1669-21-verso,11,May,18,May,Christened (Female),90
1669,21,1669-21-verso,11,May,18,May,Christened (In All),215
1669,22,1669-22-verso,18,May,25,May,Christened (Male),116
1669,22,1669-22-verso,18,May,25,May,Christened (Female),121
1669,22,1669-22-verso,18,May,25,May,Christened (In All),237
1669,23,1669-23-London,25,May,1,June,Christened (Male),97
1669,23,1669-23-London,25,May,1,June,Christened (Female),105
1669,23,1669-23-London,25,May,1,June,Christened (In All),202
1669,24,1669-24-verso,1,June,8,June,Christened (Male),116
1669,24,1669-24-verso,1,June,8,June,Christened (Female),102
1669,24,1669-24-verso,1,June,8,June,Christened (In All),218
1669,25,1669-25-verso,8,June,15,June,Christened (Male),140
1669,25,1669-25-verso,8,June,15,June,Christened (Female),111
1669,25,1669-25-verso,8,June,15,June,Christened (In All),251
1669,26,1669-26-verso,15,June,22,June,Christened (Male),116
1669,26,1669-26-verso,15,June,22,June,Christened (Female),105
1669,26,1669-26-verso,15,June,22,June,Christened (In All),221
1669,27,1669-27-verso,22,June,29,June,Christened (Male),117
1669,27,1669-27-verso,22,June,29,June,Christened (Female),97
1669,27,1669-27-verso,22,June,29,June,Christened (In All),214
1669,28,1669-28-verso,29,June,6,July,Christened (Male),108
1669,28,1669-28-verso,29,June,6,July,Christened (Female),114
1669,28,1669-28-verso,29,June,6,July,Christened (In All),222
1669,29,1669-29-verso,6,July,13,July,Christened (Male),122
1669,29,1669-29-verso,6,July,13,July,Christened (Female),97
1669,29,1669-29-verso,6,July,13,July,Christened (In All),219
1669,30,1669-30-verso,13,July,20,July,Christened (Male),119
1669,30,1669-30-verso,13,July,20,July,Christened (Female),96
1669,30,1669-30-verso,13,July,20,July,Christened (In All),215
1669,31,1669-31-verso,20,July,27,July,Christened (Male),128
1669,31,1669-31-verso,20,July,27,July,Christened (Female),96
1669,31,1669-31-verso,20,July,27,July,Christened (In All),224
1669,32,1669-32-verso,27,July,3,August,Christened (Male),127
1669,32,1669-32-verso,27,July,3,August,Christened (Female),106
1669,32,1669-32-verso,27,July,3,August,Christened (In All),233
